年月,區域別,里數,鄰數,戶數,性別,人口數,遷入人數,遷出人數,出生人數,死亡人數,結婚對數,離婚對數,平地原住民,山地原住民
10401,新竹市,122,2216,155296,男女合計,432259,1666,1607,431,219,294,74,1795,1908
10401,新竹市,122,2216,155296,男,213933,725,721,234,141,294,74,849,764
10401,新竹市,122,2216,155296,女,218326,941,886,197,78,294,74,946,1144
10401,東區,53,1033,75186,男女合計,207081,859,713,188,96,143,23,590,805
10401,東區,53,1033,75186,男,102017,381,313,100,66,143,23,252,305
10401,東區,53,1033,75186,女,105064,478,400,88,30,143,23,338,500
10401,北區,45,808,54359,男女合計,148766,560,609,151,89,98,31,642,663
10401,北區,45,808,54359,男,72989,233,274,83,54,98,31,309,271
10401,北區,45,808,54359,女,75777,327,335,68,35,98,31,333,392
10401,香山,24,375,25751,男女合計,76412,247,285,92,34,53,20,563,440
10401,香山,24,375,25751,男,38927,111,134,51,21,53,20,288,188
10401,香山,24,375,25751,女,37485,136,151,41,13,53,20,275,252
10402,新竹市,122,2216,155394,男女合計,432366,1240,1296,338,175,204,62,1797,1907
10402,新竹市,122,2216,155394,男,214017,586,574,178,106,204,62,850,764
10402,新竹市,122,2216,155394,女,218349,654,722,160,69,204,62,947,1143
10402,東區,53,1033,75259,男女合計,207218,648,606,160,65,96,25,595,803
10402,東區,53,1033,75259,男,102107,313,272,87,38,96,25,254,304
10402,東區,53,1033,75259,女,105111,335,334,73,27,96,25,341,499
10402,北區,45,808,54377,男女合計,148757,405,440,97,71,75,26,640,666
10402,北區,45,808,54377,男,72997,192,190,47,41,75,26,308,274
10402,北區,45,808,54377,女,75760,213,250,50,30,75,26,332,392
10402,香山,24,375,25758,男女合計,76391,187,250,81,39,33,11,562,438
10402,香山,24,375,25758,男,38913,81,112,44,27,33,11,288,186
10402,香山,24,375,25758,女,37478,106,138,37,12,33,11,274,252
10403,新竹市,122,2215,155585,男女合計,432456,1960,2066,467,271,235,77,1801,1902
10403,新竹市,122,2215,155585,男,214029,881,954,254,169,235,77,849,769
10403,新竹市,122,2215,155585,女,218427,1079,1112,213,102,235,77,952,1151
10403,東區,53,1033,75348,男女合計,207297,950,961,219,129,115,33,590,801
10403,東區,53,1033,75348,男,102125,432,458,122,78,115,33,250,304
10403,東區,53,1033,75348,女,105172,518,503,97,51,115,33,340,497
10403,北區,45,807,54436,男女合計,148741,658,732,157,99,72,28,638,673
10403,北區,45,807,54436,男,72968,295,344,85,65,72,28,307,279
10403,北區,45,807,54436,女,75773,363,388,72,34,72,28,331,394
10403,香山,24,375,25801,男女合計,76418,352,373,91,43,48,16,573,446
10403,香山,24,375,25801,男,38936,154,152,47,26,48,16,292,186
10403,香山,24,375,25801,女,37482,198,221,44,17,48,16,281,260
10404,新竹市,122,2188,155773,男女合計,432559,1775,1857,397,212,186,92,1809,1928
10404,新竹市,122,2188,155773,男,214112,807,815,217,126,186,92,859,774
10404,新竹市,122,2188,155773,女,218447,968,1042,180,86,186,92,950,1154
10404,東區,53,1019,75457,男女合計,207440,887,832,186,98,83,38,592,803
10404,東區,53,1019,75457,男,102197,407,381,104,58,83,38,253,304
10404,東區,53,1019,75457,女,105243,480,451,82,40,83,38,339,499
10404,北區,45,794,54467,男女合計,148729,590,650,125,77,68,41,643,673
10404,北區,45,794,54467,男,72969,255,274,61,41,68,41,313,281
10404,北區,45,794,54467,女,75760,335,376,64,36,68,41,330,392
10404,香山,24,375,25849,男女合計,76390,298,375,86,37,35,13,574,452
10404,香山,24,375,25849,男,38946,145,160,52,27,35,13,293,189
10404,香山,24,375,25849,女,37444,153,215,34,10,35,13,281,263
10405,新竹市,122,2188,156035,男女合計,432692,2154,2198,368,191,353,81,1821,1937
10405,新竹市,122,2188,156035,男,214138,968,1011,186,117,353,81,864,777
10405,新竹市,122,2188,156035,女,218554,1186,1187,182,74,353,81,957,1160
10405,東區,53,1019,75596,男女合計,207529,1045,1058,187,85,143,36,596,799
10405,東區,53,1019,75596,男,102210,470,500,99,56,143,36,252,303
10405,東區,53,1019,75596,女,105319,575,558,88,29,143,36,344,496
10405,北區,45,794,54538,男女合計,148769,731,734,117,74,152,33,649,685
10405,北區,45,794,54538,男,72993,342,328,56,46,152,33,317,284
10405,北區,45,794,54538,女,75776,389,406,61,28,152,33,332,401
10405,香山,24,375,25901,男女合計,76394,378,406,64,32,58,12,576,453
10405,香山,24,375,25901,男,38935,156,183,31,15,58,12,295,190
10405,香山,24,375,25901,女,37459,222,223,33,17,58,12,281,263
10406,新竹市,122,2187,156266,男女合計,432860,1931,1971,428,220,208,110,1838,1948
10406,新竹市,122,2187,156266,男,214222,895,892,216,135,208,110,870,784
10406,新竹市,122,2187,156266,女,218638,1036,1079,212,85,208,110,968,1164
10406,東區,53,1019,75742,男女合計,207671,971,948,209,90,94,50,605,803
10406,東區,53,1019,75742,男,102299,458,419,103,53,94,50,255,306
10406,東區,53,1019,75742,女,105372,513,529,106,37,94,50,350,497
10406,北區,45,793,54591,男女合計,148838,639,629,145,86,83,39,659,697
10406,北區,45,793,54591,男,73017,288,297,87,54,83,39,321,292
10406,北區,45,793,54591,女,75821,351,332,58,32,83,39,338,405
10406,香山,24,375,25933,男女合計,76351,321,394,74,44,31,21,574,448
10406,香山,24,375,25933,男,38906,149,176,26,28,31,21,294,186
10406,香山,24,375,25933,女,37445,172,218,48,16,31,21,280,262
10407,新竹市,122,2187,156462,男女合計,432966,2134,2216,403,215,208,109,1839,1950
10407,新竹市,122,2187,156462,男,214282,999,1026,207,120,208,109,872,785
10407,新竹市,122,2187,156462,女,218684,1135,1190,196,95,208,109,967,1165
10407,東區,53,1019,75813,男女合計,207549,952,1183,199,90,101,40,594,803
10407,東區,53,1019,75813,男,102252,460,556,100,51,101,40,251,304
10407,東區,53,1019,75813,女,105297,492,627,99,39,101,40,343,499
10407,北區,45,793,54672,男女合計,148945,766,691,127,95,57,46,668,696
10407,北區,45,793,54672,男,73068,351,319,72,53,57,46,326,292
10407,北區,45,793,54672,女,75877,415,372,55,42,57,46,342,404
10407,香山,24,375,25977,男女合計,76472,416,342,77,30,50,23,577,451
10407,香山,24,375,25977,男,38962,188,151,35,16,50,23,295,189
10407,香山,24,375,25977,女,37510,228,191,42,14,50,23,282,262
10408,新竹市,122,2187,156725,男女合計,433091,1855,1946,407,191,145,77,1848,1953
10408,新竹市,122,2187,156725,男,214362,834,863,216,107,145,77,876,791
10408,新竹市,122,2187,156725,女,218729,1021,1083,191,84,145,77,972,1162
10408,東區,53,1020,75944,男女合計,207516,868,1003,185,83,63,26,593,803
10408,東區,53,1020,75944,男,102261,405,446,101,51,63,26,249,307
10408,東區,53,1020,75944,女,105255,463,557,84,32,63,26,344,496
10408,北區,45,792,54734,男女合計,148983,624,645,140,81,57,35,677,699
10408,北區,45,792,54734,男,73078,268,286,70,42,57,35,330,295
10408,北區,45,792,54734,女,75905,356,359,70,39,57,35,347,404
10408,香山,24,375,26047,男女合計,76592,363,298,82,27,25,16,578,451
10408,香山,24,375,26047,男,39023,161,131,45,14,25,16,297,189
10408,香山,24,375,26047,女,37569,202,167,37,13,25,16,281,262
